case_id,시나리오,date,솔루션,담당자,workType,workStatus,description
#0252,D. 솔루션 횡단 재발,2025-07-04,Viscoper,담당자10,개선/수정,계속,"테스트 및 오류 수정
- 통계 엑셀 다운로드 오류 수정 적용"
#0352,D. 솔루션 횡단 재발,2025-09-02,Crowdwatcher,담당자10,실행/구현,완료,"통계 페이지
- 선 / 막대 그래프 선택 기능 오류 수정
- 테이블 날짜 정렬 오류 수정
- 선 그래프 범례 안나오는 오류 수정
- 선 / 막대 그래프 스타일 수정"
#0614,D. 솔루션 횡단 재발,2026-02-27,Safewatcher(base),담당자10,Fix,Cont,"- 주간별 이벤트 통계 데이터 순서 맞지 않는 오류 수정
- pdf 다운로드 시 데이터 양이 많으면 pdf가 생성되지 않는 오류 수정중(테스트 미완료)"
#0626,D. 솔루션 횡단 재발,2026-03-10,Safewatcher(base),담당자10,Fix,Done,"- 위험 감지 통계 엑셀 다운로드 주간별 통계 순서 안맞는 문제 수정
- 테스트"
#0393,A. 출장 전 사전 회상,2025-09-23,Secuwatcher,담당자13,실행/구현,계속,"* 시큐워처 - 인천교통센터
 - 프로젝트 환경설정 및 실행
 - 자바 버전 17 -> 8 다운그레이드
 - 데이터베이스 설치
 - pom.xml에서 의존성 수정(진행중)"
#0433,A. 출장 전 사전 회상,2025-10-16,Secuwatcher,담당자06,개선/수정,계속,"1. Secuwatcher 수성구청
- 수성구청 <-> 수성경찰서 망연계 테스트 진행
- 망연계 및 방화벽 Secuwatcher 서버 및 포트 등록
- 수성경찰서 Secuwatcher 접속 테스트
 -> 엣지에서 접속되나 크롬에서 접속되지 않는 현상 발생, 크롬 버전 이슈로 관련 내용 전달

2. Secuwatcher 설치형 Export
- 내보내기 오류 수정 테스트
- 설치 시 최초 Export 실행되나 모델 미실행 오류 현상 수정 테스트
- Export 수정본 강원랜드 전달

3. 기타
- Secuwatcher 청주시청 이중화 관련 기능 정리 및 구성도 초안 작성
- 강원랜드 웹 개발 서버 외부 접속 관련 허용 요청"
#0446,A. 출장 전 사전 회상,2025-10-21,Secuwatcher,담당자12,개선/수정,,"1. 인천교통공사 망연계 관련 테스트 진행
    a. 기존 Secuwatcher web 설치 가이드 문서 따라 설치 진행
        i. 기본 웹 tomcat 실행 및 통계 tomcat 실행
        ii. 통계 tomcat 실행 중 웹 tomcat과 포트 충돌 문제 해결을 위해 shutdown port를 8004로 ,connector http port를 8180으로 변경
        iii. 개인 pc ip에서 구버전 secuwatcher웹 및 통계 페이지 표시 확인
    b. 외부 접속 테스트
        i. 외부에서 개인 pc에 실행 시킨 secuwatcher web으로 접속하여 통계 페이지 표시 되지 않는 현상 재현 완료
    c. nginx를 통한 통계 페이지 reverse_proxy 테스트
        i. sub_filter로 127.0.0.1:8180을 [내부IP]:80/aggregation 으로 수정한 후 /aggregation 포함한 경로를 nginx에서 127.0.0.1:8180으로 reverse proxy 하도록 설정 후 테스트
        ii. iframe으로 통계 페이지 호출 시 추가적으로 경로를 수정 해 줘야 하는 라이브러리, 이미지, js파일 등이 다수 존재하는 것을 확인
        iii. 호출해야 하는 파일 및 코드 계속 추적 중
    d. 웹 서버 WAR 파일 교체
        i. 인천에서 실제 사용중인 웹 서버 WAR 파일로 로컬 테스트 환경 WAR 파일 교체, 통계 페이지를 제외한 버그 사라짐 및 환경 안정화 확인"
#0458,A. 출장 전 사전 회상,2025-10-28,Secuwatcher,담당자12,문서화,완료,"1. 인천교통정보센터 출장 후 기록 문서화
    a. 작업전 배포 환경 정리
        i. Tomcat 80포트 사용으로 인한 구조도 변경
    b. 발생한 이슈 및 해결 방법
        i. Tomcat 80 포트 점유 삭제 전 Nginx 80 포트 실행 실패 → Tomcat Server.xml 에서 80 포트 Connector 삭제 후 Nginx 실행
        ii. Nginx 설정의 한글 주석 텍스트 깨짐 현상으로 인한 에러 → 워드패드로 한글 주석 모두 삭제
        iii. Nginx를 통한 접속 후 Secuwatcher 웹 로그인 시 Nginx listening port 설정과 무관하게 80 포트로 .do 파일 경로 호출 → Nginx proxy set header Host $http_host; 설정
        iv. 행정망 통한 접속 시 Nginx sub_filter module 작동 했으나 통계 페이지 호출 오류 발생 → sub_filter로 통계 페이지 호출 주소를 행정망 PC에서는 알지 못하는192.168.2.21:3000/aggregation/으로 설정 했기 때문, 행정망 PC에서 접속 가능한 망연계 서버 주소인 10.xxx.xxx.xx:3000/aggregation/ 으로 수정
        v. 내부망에서 Nginx로 접근 시 망연계 서버 주소를 알지 못하므로 다시 비어있는 80포트에 Tomcat Connector 원복
    c. 최종 Nginx configuration 및 접속 흐름 정리
    d. proxy set header에 들어가는 변수인 $host, $proxy_host, $http_host 각각 정리
2. 설치형 Export 영상 여러개의 경우 자동객체탐지 관련 에러 분석
    a. 여러 영상 추가 후 다중파일 자동객체탐지 테스트 진행
        i. 객체탐지 비정상 작동 재현 확인
    b. 객체탐지 소스코드(detector.py) 분석 작업 진행
        i. autodetector 함수 video_path (str) 쉼표로 구분 가능 주석 확인 -> 프론트 코드 분석 진행 중"
#0025,B. 현장 1차 진단,2025-01-22,Firewatcher,담당자11,기타,,- 전남도청 전기작업 및 복구 완료
#0033,B. 현장 1차 진단,2025-02-03,Firewatcher,담당자11,,,"- 충북도청 로그인불가현상 이슈 조치
 -> 재부팅되면서 로그인정보가 소실된 것으로 추측함
 -> root 계정으로 접속 후 기존 계정 복구 후 조치완료"
